tweet_type,userid,screen_name,date,hashtag,qtd_hashtag,rt_hashtag
retweeted_tweet_without_comment,1660720560,MoNSTeRPaRADiGM,Sat Aug 01 03:14:13 +0000 2020,epstein qanons,"",epstein qanons
original,1284951362191724544,2Qanons,Sat Aug 01 03:15:41 +0000 2020,qanon maga thegreatawakening,"",""
quoted_tweet,816364246384537600,hearthwench,Sat Aug 01 03:17:41 +0000 2020,wwg1wgaworldwide wwg1wga qanons,covid19,""
retweeted_tweet_without_comment,1151006802781167616,army_e31JP,Sat Aug 01 03:17:49 +0000 2020,taketheoath q qanon qarmyjapanflynn wwg1wgaworldwide japan,"",taketheoath q qanon qarmyjapanflynn wwg1wgaworldwide japan 宣誓動画
retweeted_tweet_without_comment,3030415588,Wwg1wgaTrump,Sat Aug 01 03:17:56 +0000 2020,wwg1wga thegreatawakening maga qanon,"",wwg1wga thegreatawakening maga qanon
reply,1284951362191724544,2Qanons,Sat Aug 01 03:18:15 +0000 2020,qanon maga thegreatawakening,"",""
reply,1284951362191724544,2Qanons,Sat Aug 01 03:18:43 +0000 2020,qanon maga thegreatawakening,"",""
reply,1284951362191724544,2Qanons,Sat Aug 01 03:19:33 +0000 2020,qanon maga thegreatawakening,"",""
reply,1284951362191724544,2Qanons,Sat Aug 01 03:20:03 +0000 2020,qanon maga thegreatawakening,"",""
retweeted_tweet_without_comment,1151006802781167616,army_e31JP,Sat Aug 01 03:20:21 +0000 2020,taketheoath q qanon qarmyjapanflynn wwg1wga,"",taketheoath q qanon qarmyjapanflynn wwg1wga japan q4510
reply,1284951362191724544,2Qanons,Sat Aug 01 03:20:30 +0000 2020,qanon maga thegreatawakening,"",""
reply,73858715,celtron777,Sat Aug 01 03:21:38 +0000 2020,qanons,"",""
retweeted_tweet_without_comment,614442879,mamo88065949,Sat Aug 01 03:22:30 +0000 2020,taketheoath q qanon qarmyjapanflynn wwg1wgaworldwide japan,"",taketheoath q qanon qarmyjapanflynn wwg1wgaworldwide japan 宣誓動画
retweeted_tweet_without_comment,1660720560,MoNSTeRPaRADiGM,Sat Aug 01 03:24:30 +0000 2020,qanons alandershowitz,"",qanons alandershowitz
retweeted_tweet_without_comment,943183246916911104,tj6feather,Sat Aug 01 03:25:02 +0000 2020,trump2020 qanon wwg1wga,"",trump2020 qanon wwg1wga
quoted_tweet,1164894169950806016,DrGCOAnon,Sat Aug 01 03:26:09 +0000 2020,wwg1wg tg1tga qanon thegreatawakening keyboardwarriors coanon qarmyworldwide maga mwga,alldaybaby,""
reply,2650965868,ansue67,Sat Aug 01 03:26:47 +0000 2020,qanons,"",""
quoted_tweet,1275592328456146944,greasolini,Sat Aug 01 03:28:14 +0000 2020,osha fauci qanons wearethenewsnow thegreatawakening,researchforyourselves themoreyouknow truthisinplainsight,""
quoted_tweet,19098222,BentleyK,Sat Aug 01 03:28:44 +0000 2020,osha fauci qanons wearethenewsnow thegreatawakening,researchforyourselves themoreyouknow truthisinplainsight,""
retweeted_tweet_without_comment,2253787674,chattycathy317,Sat Aug 01 03:28:48 +0000 2020,q qanon wwg1wga pan peterpan,"",q qanon wwg1wga pan peterpan
quoted_tweet,135921396,Shorty2Time,Sat Aug 01 03:29:26 +0000 2020,wwg1wga qanon,"",""
original,1285703569048432640,qinhollywood,Sat Aug 01 03:29:33 +0000 2020,epsteinfiles qanons,"",""
quoted_tweet,933140187286261760,whitebunnyq,Sat Aug 01 03:30:18 +0000 2020,qanon,takeamemeleaveameme darktolight thegreatawakening wwg1wga,""
quoted_tweet,15387636,DanAuito,Sat Aug 01 03:30:48 +0000 2020,qanon,takeamemeleaveameme darktolight thegreatawakening wwg1wga,""
original,1271623791014293504,TheFoundersUSA,Sat Aug 01 03:31:20 +0000 2020,wwg1wga maga kag qanon,"",""
reply,1284951362191724544,2Qanons,Sat Aug 01 03:31:23 +0000 2020,qanon,"",""
quoted_tweet,772487185031311360,LattyDian,Sat Aug 01 03:31:52 +0000 2020,qanon,takeamemeleaveameme darktolight thegreatawakening wwg1wga,""
retweeted_tweet_without_comment,1271082020119158784,hippiewagon1,Sat Aug 01 03:32:37 +0000 2020,epstein qanons,"",epstein qanons
reply,1284951362191724544,2Qanons,Sat Aug 01 03:32:38 +0000 2020,qanon,"",""
reply,947743799085711360,SpecAlt,Sat Aug 01 03:32:41 +0000 2020,qanon,"",""
retweeted_tweet_without_comment,614442879,mamo88065949,Sat Aug 01 03:33:23 +0000 2020,taketheoath q qanon qarmyjapanflynn wwg1wga,"",taketheoath q qanon qarmyjapanflynn wwg1wga japan q4510
quoted_tweet,795401809137463296,MichPatriot_lks,Sat Aug 01 03:33:24 +0000 2020,maga2020 kag potus qanons qanon digitalsoldiers qarmy trump2020 trumplandslidevictory2020 trumplandslide2020 trumplandslide,leadright,""
retweeted_tweet_without_comment,123811734,reon_ohi,Sat Aug 01 03:35:10 +0000 2020,wwg1wga qanon,"",wwg1wga qanon qarmyjapanflynn ヒラリーをみる眼差し
reply,1284951362191724544,2Qanons,Sat Aug 01 03:35:58 +0000 2020,qanon,"",""
reply,1284951362191724544,2Qanons,Sat Aug 01 03:36:31 +0000 2020,qanon,"",""
reply,1266934856346488832,Self_Aware_1,Sat Aug 01 03:37:05 +0000 2020,wwg1wga greatawakening trump2020 qanons maga savethechildren,"",""
