screen_name,tweet_type,date,tweetid,rt_hashtag,hashtag,userid
Shorty2Time,quoted_tweet,Sat Aug 01 03:29:26 +0000 2020,1289402836900601856,"",wwg1wga qanon,135921396
qinhollywood,original,Sat Aug 01 03:29:33 +0000 2020,1289402865216184320,"",epsteinfiles qanons,1285703569048432640
whitebunnyq,quoted_tweet,Sat Aug 01 03:30:18 +0000 2020,1289403051602669568,"",qanon,933140187286261760
DanAuito,quoted_tweet,Sat Aug 01 03:30:48 +0000 2020,1289403179977719808,"",qanon,15387636
TheFoundersUSA,original,Sat Aug 01 03:31:20 +0000 2020,1289403312085725184,"",wwg1wga maga kag qanon,1271623791014293504
2Qanons,reply,Sat Aug 01 03:31:23 +0000 2020,1289403325880836096,"",qanon,1284951362191724544
LattyDian,quoted_tweet,Sat Aug 01 03:31:52 +0000 2020,1289403447402303488,"",qanon,772487185031311360
hippiewagon1,retweeted_tweet_without_comment,Sat Aug 01 03:32:37 +0000 2020,1289403636724842496,epstein qanons,epstein qanons,1271082020119158784
2Qanons,reply,Sat Aug 01 03:32:38 +0000 2020,1289403638868135936,"",qanon,1284951362191724544
SpecAlt,reply,Sat Aug 01 03:32:41 +0000 2020,1289403651530743808,"",qanon,947743799085711360
mamo88065949,retweeted_tweet_without_comment,Sat Aug 01 03:33:23 +0000 2020,1289403828979130368,taketheoath q qanon qarmyjapanflynn wwg1wga japan q4510,taketheoath q qanon qarmyjapanflynn wwg1wga,614442879
MichPatriot_lks,quoted_tweet,Sat Aug 01 03:33:24 +0000 2020,1289403833991356416,"",maga2020 kag potus qanons qanon digitalsoldiers qarmy trump2020 trumplandslidevictory2020 trumplandslide2020 trumplandslide,795401809137463296
reon_ohi,retweeted_tweet_without_comment,Sat Aug 01 03:35:10 +0000 2020,1289404276721123328,wwg1wga qanon qarmyjapanflynn ヒラリーをみる眼差し,wwg1wga qanon,123811734
2Qanons,reply,Sat Aug 01 03:35:58 +0000 2020,1289404479515684864,"",qanon,1284951362191724544
2Qanons,reply,Sat Aug 01 03:36:31 +0000 2020,1289404617059524608,"",qanon,1284951362191724544
Self_Aware_1,reply,Sat Aug 01 03:37:05 +0000 2020,1289404759053668352,"",wwg1wga greatawakening trump2020 qanons maga savethechildren,1266934856346488832
natalie_k7,original,Sat Aug 01 03:37:22 +0000 2020,1289404831820472320,"",news lamestreammedia fakenews wearethenewsnow qanon qanons foxnews maga votetrump2020 democratstheenemywithin,1259538128777461760
Edelruth2,quoted_tweet,Sat Aug 01 03:38:57 +0000 2020,1289405228823875584,"",qanons thelostelection thestorm,1147240664368701440
DanaEiranon,reply,Sat Aug 01 03:39:11 +0000 2020,1289405287267332096,"",qanon wwg1wga,1259225768267321344
2Qanons,reply,Sat Aug 01 03:39:44 +0000 2020,1289405427864571904,"",qanon,1284951362191724544
Marybankergirl,reply,Sat Aug 01 03:40:43 +0000 2020,1289405674330324992,"",wwg1wga qanoncanada,3876285323
Woodsprite99,quoted_tweet,Sat Aug 01 03:41:54 +0000 2020,1289405972515942400,"",osha fauci qanons wearethenewsnow thegreatawakening,2642927008
BobOne977,original,Sat Aug 01 03:42:23 +0000 2020,1289406093244784640,"",qanon,1263356858372366336
2Qanons,reply,Sat Aug 01 03:42:41 +0000 2020,1289406168968777728,"",qanon,1284951362191724544
Americansonofl1,quoted_tweet,Sat Aug 01 03:43:48 +0000 2020,1289406450922590208,"",maga2020 kag potus qanons qanon digitalsoldiers qarmy trump2020 trumplandslidevictory2020 trumplandslide2020,1234703605409734656
2Qanons,reply,Sat Aug 01 03:45:22 +0000 2020,1289406846642487296,"",qanon,1284951362191724544
MogulMinds773,original,Sat Aug 01 03:45:38 +0000 2020,1289406913952641024,"",mmpn jointheconversation standup endhate wakeup q qanon wwg1wga potus chicago help maxwellfiles endthis darktolight exposethemall,911986343336607744
spark_radio_net,retweeted_tweet_without_comment,Sat Aug 01 03:46:40 +0000 2020,1289407173206794240,mmpn jointheconversation standup endhate wakeup q qanon wwg1wga potus chicago help maxwellfiles endthis darktolight exposethemall,mmpn jointheconversation standup endhate wakeup q qanon wwg1wga,1000924337082388480
tooranomaki6910,retweeted_tweet_without_comment,Sat Aug 01 03:46:56 +0000 2020,1289407240839892992,trump kag qanon qarmy wwg1wga gitmo deepstate nk ww3,trump kag qanon qarmy wwg1wga gitmo deepstate nk ww3,1008176372622110720
umpire_d,reply,Sat Aug 01 03:50:48 +0000 2020,1289408212278468608,"",qanon,1228758085893640192
breakgear001,retweeted_tweet_without_comment,Sat Aug 01 03:51:03 +0000 2020,1289408277046935552,taketheoath q qanon qarmyjapanflynn wwg1wga japan q4510,taketheoath q qanon qarmyjapanflynn wwg1wga,1029845032348479488
Marybankergirl,quoted_tweet,Sat Aug 01 03:51:09 +0000 2020,1289408298286907392,"",wwg1wga qanoncanada,3876285323
2Qanons,reply,Sat Aug 01 03:51:39 +0000 2020,1289408425948921856,"",qanon,1284951362191724544
umpire_d,reply,Sat Aug 01 03:52:09 +0000 2020,1289408553875193856,"",qanon,1228758085893640192
ClownMajority,original,Sat Aug 01 03:53:10 +0000 2020,1289408808096129024,"",billclinton epsteinisland qanons wwg1wga,1289269739483799552
Hitaqqti,quoted_tweet,Sat Aug 01 03:53:44 +0000 2020,1289408951239376896,"",taketheoath qanon qanonjapan q,96968240
JimmyFalk5,reply,Sat Aug 01 03:56:56 +0000 2020,1289409754431856640,"",qanon thegreatawakening,1046191658780561408
tooranomaki6910,retweeted_tweet_without_comment,Sat Aug 01 03:57:16 +0000 2020,1289409840763170816,trump kag qanon qarmy wwg1wga gitmo deepstate nk ww3,trump kag qanon qarmy wwg1wga gitmo deepstate nk ww3,1008176372622110720
Hitaqqti,retweeted_tweet_without_comment,Sat Aug 01 03:58:57 +0000 2020,1289410263104385024,qarmyjapanflynn qanon wwg1wga stormisuponus,qarmyjapanflynn qanon wwg1wga stormisuponus,96968240
the_dodman,reply,Sat Aug 01 03:59:44 +0000 2020,1289410461184581632,"",keepamericagreat maga2020 qanons,2459106619
OneLastRun54,retweeted_tweet_without_comment,Sat Aug 01 02:00:47 +0000 2020,1289380527078694912,votered2020removeeverydemocrat voteredtosaveamerica2020 wwgiwga kag qanon2020 trump2020,votered2020removeeverydemocrat voteredtosaveamerica2020 wwgiwga kag qanon2020,1608622200
BoomPanic,original,Sat Aug 01 02:02:05 +0000 2020,1289380853756260352,"",maga qanon qarmy qanonarmy saveamerica unitednotdivided wwg1wga exposeantifa,1196612824426012672
UTMBColorado,original,Sat Aug 01 02:03:06 +0000 2020,1289381108203712512,"",florida maga qanon kag2020 presidentsnowflake florida noonelikestrump,1243394941742538752
Quantum71700706,original,Sat Aug 01 02:03:36 +0000 2020,1289381236301942784,"",hydroxychloroquine dictatordan wwg1wga thegreatawakeningworldwide qanon aussieq hydrochloroquineisthecure,1243723277308026880
bilddawall,quoted_tweet,Sat Aug 01 02:05:17 +0000 2020,1289381656927715328,"",wwg1wga wwg1wgaworldwide qanon greatawakening,1280838693268393984
GuysCoast,reply,Sat Aug 01 02:06:32 +0000 2020,1289381972104470528,"",qanons,1273413072120578048
x8Jhd3rN6sxMGhh,quoted_tweet,Sat Aug 01 02:07:48 +0000 2020,1289382289953058816,"",savethechildren qanons qarmyjapanflynn wwg1wga,1082041968316665856
